2025-04-11 16:43:41,023 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_11, process: A, location: B
2025-04-11 16:43:41,028 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_12, process: A, location: B
2025-04-11 16:43:41,032 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_13, process: A, location: B
2025-04-11 16:43:41,037 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_14, process: A, location: B
2025-04-11 16:43:41,043 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_15, process: A, location: B
2025-04-11 16:43:41,047 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_16, process: A, location: B
2025-04-11 16:43:41,052 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_17, process: A, location: B
2025-04-11 16:43:41,056 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_18, process: A, location: B
2025-04-11 16:43:41,061 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_19, process: A, location: B
2025-04-11 16:43:41,066 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_2, process: A, location: B
2025-04-11 16:43:41,070 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_20, process: A, location: B
2025-04-11 16:43:41,074 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_21, process: A, location: B
2025-04-11 16:43:41,079 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_22, process: A, location: B
2025-04-11 16:43:41,083 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_23, process: A, location: B
2025-04-11 16:43:41,088 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got2_mc_24, process: A, location: B
